"ques","flag","img","item__001","item__002","item__003","item__004","ans","tip","tip_img"
"冠状病毒肺炎来袭，请问宠物是否需要做好清洁及防护？","","","需要","不需要","无所谓","看心情","0","知识官崔尚金老师：<span>虽然目前并未发现宠物感染该新型冠状病毒，但新冠病毒可以通过飞沫传播，为避免宠物外出后携带新冠病毒回家，因此非常有必要做好宠物的清洁与防护。外出遛狗回家后应清洁脚丫及身体。</span>",""
"以下关于疫情期间遛狗的描述错误的是：","","","不给狗狗佩戴牵引绳","回家后给狗狗做好清洁","尽量远离流浪动物","适当减少遛狗时间","0","知识官崔尚金老师：<span>给狗狗佩戴牵引绳可以对其有效控制，避免狗狗接触野生动物、流浪动物及其排泄物。不能控制在户外捡食的狗狗可佩戴口罩。</span>",""
"如果家里新来了一只猫咪你应该怎么做？","","","饲养在家","尽快体检并适当隔离观察","请朋友一起来“吸猫”","马上打疫苗","1","知识官崔尚金老师：<span>如果是收养的野猫可能会有疾病，应该先带它去医院检查身体，以及打疫苗；如果是别人送的，或买的健康小猫，可以先饲养两周后去体检或打疫苗。</span>",""
"养猫时家中的消毒是否需要？","","","不是很需要","需要 ","看心情","随便","1","知识官崔尚金老师：<span>定期消毒是比较需要的。家里日常消毒，不一定要用84这么强烈的消毒液，可以选用宠物用的消毒液，并进行定期消毒。</span>",""
"本次新型冠状感染肺炎是否跟犬猫冠状病毒是同一种病毒？","","","不是","一模一样 ","不知道","可能是","0","知识官崔尚金老师：<span>不是。冠状病毒是一种具有包膜的RNA病毒，广泛存在于人类、哺乳动物和鸟类宿主，可以导致呼吸道、肠道、肝脏和神经系统疾病。这次新型冠状病毒属于冠状病毒科冠状病毒属β冠状病毒，而犬冠状病毒和猫冠状病毒属于冠状病毒科冠状病毒属α冠状病毒，由病毒分类学上而言，新型冠状病毒与犬猫冠状病毒不是同一种病毒。</span>",""
"以下关于养宠物的卫生习惯的表述错误的是：","","","回家后接触宠物前洗手","用宠物用消毒剂清洗笼具","95%酒精消毒比75%更好","宠物排泄物应倒入马桶","2","知识官崔尚金老师：<span>酒精杀菌消毒能力的强弱与其浓度大小有直接的关系，过高或过低都不行。75％的酒精与细菌的渗透压相近，可以在细菌表面蛋白未变性前逐渐不断地向菌体内部渗入，使细菌所有蛋白脱水、变性凝固，最终杀死细菌。</span>",""
"此次肺炎疫情爆发后，有宠物饲养的家庭应注意的事项中表述错误的是：","","","为防止传染病而放弃饲养","定期给家中清洁卫生并消毒","遛狗回家后应注意清洁","尽量去人少的地方遛狗","0","知识官崔尚金老师：<span>2019-nCoV为β属，与猫狗冠状病毒为两类完全不同的病毒，无法感染猫、狗等宠物，也就无法在宠物体内完成大量复制的任务。所以不存在隐性携带，感染人类的情况，因此不要因为担心新冠肺炎而弃养宠物。</span>",""
"孕妇和小朋友与宠物之间的利弊关系是什么样的？","","","弊大于利","利大于弊","没有关系","不知道","1","知识官崔尚金老师：<span>养宠物可以帮助小朋友适应过敏源，可以帮助小朋友驱逐孤独感。虽然孕期饲养宠物有感染弓形虫的风险，但我们如果严格做好宠物的疫苗健康工作，给自己和萌宠都做一个有关弓形虫的体检，是完全可以避免弓形虫感染的。</span>",""
"弓形虫的感染途径不包括哪一项？ ","","","空气传播","消化道传播","胎盘转移","不知道","0","知识官崔尚金老师：<span>人感染弓形虫，可能是吃没有完全煮熟的肉，或被没有完全煮熟的肉污染的食物，这些肉含有弓形虫的包囊或假包囊。也可能是家中养猫导致传染，猫如果感染了弓形虫，粪便中可以排出卵囊，卵囊在外界发育一段时间可以成熟，成熟的卵囊如果污染了人的食物，或者通过其他途径进入人的口中、进入消化道，可以导致人感染。</span>",""
"使用人用消毒水对宠物消毒是否正确？","","","正确","不正确","不知道","无所谓","1","知识官崔尚金老师：<span>家里养宠物的一定要用宠物消毒水进行消毒，人类消毒水对宠物可能刺激性较强，可能会影响宠物健康，而宠物专用消毒水相对较温和。</span>",""
"犬冠状病毒感染后引起的发病症状不包括以下哪项？","","","呕吐","腹泻","肺炎","厌食","2","知识官崔尚金老师：<span>犬冠状病毒感染后会引发狗发生程度不同的胃肠炎症状，特征有频繁呕吐、腹泻、沉郁、厌食等症状。</span>",""
"猫冠状病毒感染后引起猫的发病症状不包括以下哪项？","","","体温升高","贫血、黄疸","呕吐、腹泻","肺炎","3","知识官崔尚金老师：<span>感染猫冠状病毒引起猫传染性腹膜炎，传染率非常高，一般认为是经口鼻感染。</span>",""
"新型冠状病毒与犬猫冠状病毒可以进行区别检测吗？","","","可以 ","不可以 ","技术水平尚不足","不知道","0","知识官崔尚金老师：<span>新型冠状病毒的基因组序列已经开放，而且新型冠状病毒的检测技术方法已经有参考方法可用。在兽医上，犬猫冠状病毒的基因组序列也均已在相关平台上公布，也有诸多研究者建立了相关的检测技术方法。因此，做到3种病毒的区别检测完全是可以的。</span>",""
"介于当前新型冠状病毒感染形势严峻，是否有必要将家中宠物弃养？","","","不必要","必要","别人弃养我就弃养","不知道","0","知识官崔尚金老师：<span>新型冠状病毒溯源研究显示该病毒可能来自于野生动物，现在并没有证据表明有犬猫感染或者携带新型冠状病毒，所以请大家按照国家指示，少出门勤洗手多通风，家中有宠物的可以减少宠物外出次数，勤做环境消毒。</span>",""
