"ques","flag","img","item__001","item__002","item__003","item__004","ans","tip","tip_img"
"如果你不幸被隔离观察，对你心理状态最有好处的是？","","","时刻紧张","抱怨“我怎么这么倒霉”","太好了，有时间追剧了！","","2","知识官高松老师：<span>紧张与低落心情会降低免疫力，放松心情可以提高免疫力</span>",""
"遭受重大打击后，人的心理反应正常顺序是：","","","悲伤—否认—愤怒—接受","否认—愤怒—悲伤—接受","愤怒—否认—接受—悲伤","","1","知识官高松老师：<span>通常如此，有时也有混合和反复</span>",""
"以下哪一个情况，需要专业心理帮助？","","","每天极度担心自己得病","抱怨买不到菜","不听劝非要去打麻将","","0","知识官高松老师：<span>心理援助只能帮助非常不舒服而难以自我处理的人。坚持危险行为的，可以找警察</span>",""
"从什么地方获得的心理支持最专业？","","","亲友聊天","拨打心理求助热线","自己上网看","","1","知识官高松老师：<span>非常难捱时就及时打。不是很难捱时，亲友聊天或做些转移注意力的事缓解一下</span>",""
"我担心触碰的每件东西都不干净怎么办？","","","什么东西都不要碰","做好应有程度的预防","每天洗手300遍","","1","知识官高松老师：<span>凡事无法万无一失，但过度恐惧请寻求专业帮助</span>",""
"有朋友严重过度恐惧或痛苦，最有效的帮助手段是？","","","推荐专业心理辅导","摆事实讲道理分析劝说","想办法分散ta的注意力","","0","知识官高松老师：<span>小问题可以自己解决，大问题让专业的人来解决</span>",""
"如果习俗认为不拜年是不给面子，我可以怎么对待？","","","面子最重要","亲情和谐最重要","他们爱咋想咋想","","2","知识官高松老师：<span>不屈从于群体，你就长大了</span>",""
"劝亲戚戴口罩不听怎么办？","","","尽量劝说，但不背负自责","做不到是我的错","他们都不理解我，命苦！","","0","知识官高松老师：<span>知道有些事强求不来，最终为一个人生命负责任的人是ta自己，不是你</span>",""
"亲戚有人出现疑似症状怎么办？","","","鼓励隔离","悄悄提醒周围人","假装不知道，不伤情面","","0","知识官高松老师：<span>情面有修复的机会，说不定还因此加深</span>",""
"如何看待重大公共事件对孩子的影响？","","","孩子懂什么，不会有影响","孩子心理会受到重大冲击","可能有影响，但可以弥补","","2","知识官高松老师：<span>父母的解释方式，呈现情绪，比事件本身的影响大得多</span>",""
"用什么方式和孩子解释这一次“疫情”？","","","故事、绘本、游戏等方式","新闻，电视","大人的事小孩别管","","0","知识官高松老师：<span>可以利用好每一个特别的经历帮助孩子成长</span>",""
"孩子因为“疫情”出现伤心害怕，紧张不安怎么办？","","","不管他，自然会过去的","叫他要勇敢","抱着ta，询问他的感受","","2","知识官高松老师：<span>内心深处的安全感来自于童年的抱持性环境</span>",""
"孩子在隔离中躁动难耐怎么办？","","","要乖不准乱动","和ta一起游戏，或交流体会","多安排一些作业","","1","知识官高松老师：<span>把焦躁变成兴奋，把不安变成交流</span>",""
"对于离开疫区的人，以下看法哪个不正确：","","","可能只是不知情","可能只是太害怕了","离开疫区的就是坏人","","2","知识官高松老师：<span>没有切身的体会，不可轻易做论断</span>",""
"作为疫区人，我觉得我被全国人民敌视：","","","这是真的","这是错觉","绝大部分人并没有","","2","知识官高松老师：<span>人生在世，怎么可能被所有人都正确理解呢？接受每个人有每个人的局限</span>",""
"朋友从疫区出去四处旅游，我想劝ta隔离，但怕ta觉得我歧视ta，以下哪种做法最可取：","","","责怪ta骂醒ta","算了不要坏了交情","明确提醒，语气中正，不怕得罪","","2","知识官高松老师：<span>时间久了之后，人都能明白谁是真朋友，但单纯责难批评容易引起故意对抗</span>",""
"如果要接触发热的人，下面哪个口罩最合适？","","https://mat1.gtimg.com/news/zt2020/2020wuhan/images/q13.png","海绵口罩","医用防护口罩","活性炭口罩","医用外科口罩","1","正确答案：B 医用防护口罩。",""
"下列哪个行为可以预防新型冠状病毒肺炎？","","","抽烟","喝板蓝根","戴口罩、勤洗手","服用达菲","2","正确答案：C 戴口罩、勤洗手<br/>知识官阿源老师：目前新型冠状病毒尚无针对性的药物，而抽烟不仅不能预防感染，还会降低人体免疫力.",""
"对于预防新型冠状病毒肺炎，下列哪个说法是错误的？","","","应当尽量少出门","避免去人群密集的地方","出门时需佩戴口罩","我身体好，没事的","3","正确答案：D 我身体好，没事的<br/>知识官阿源老师：新型冠状病毒作为新病毒，人类第一次接触，任何人都没抗体，人群普遍易感，身体好并不能降低感染几率。",""
"打喷嚏时，正确的做法是：","","","头扭向一边","用手捂住口鼻","用纸巾或者手肘捂住口鼻","想打就打","2","正确答案：C 用纸巾或者手肘捂住口鼻<br/>知识官阿源老师：打喷嚏时，我们需要防止飞沫传播，只有用手肘和纸巾才能完全捂住口鼻，此时方向也应该避开他人。",""
"下列哪个行为不可以预防新型冠状病毒肺炎？","","","打肺炎疫苗","宅在家里","打开门窗通风","将买来的肉、蛋煮熟再吃","0","正确答案：A 打肺炎疫苗<br/>知识官阿源老师：肺炎疫苗是针对肺炎球菌肺炎的疫苗，是细菌性肺炎；而新型冠状病毒肺炎是病毒性肺炎，肺炎疫苗并不具备预防作用。",""
"下列哪个不能有效消灭新型冠状病毒？","","","过氧乙酸","醋（乙酸）","浓度不低于75%的酒精","高温","1","正确答案：B 醋（乙酸）<br/>网上盛传熏醋可以杀灭病毒，其实是因为非典时使用了过氧乙酸而造成的误传。在家熏醋不能达到消毒的效果：一是过氧乙酸的消毒作用主要是因为其有强氧化性，而不是因为乙酸；二是醋里的乙酸浓度很低；三是醋会刺激人的眼睛、呼吸道，不利于健康。",""
"下列哪个行为可以预防新型冠状病毒肺炎?","","","张伯在路边和一群人看热闹","李伯去最热闹的公园健身","张阿姨乘坐公交赶早市","李婶出门戴口罩避开人群","3","正确答案：D 李婶出门戴口罩避开人群。",""
"小红到武汉旅游了一趟，她最长需要观察多少天才能排除感染呢？","","","3天","7天","14天","30天","2","正确答案：C 14天<br/>知识官阿源老师：国家卫健委专家组成员高占成21日晚接受《新闻1+1》采访时表示，目前病毒的潜伏期，从现有病例来看，平均是7天左右，短的2到3天，长的14天。",""
"下列哪个行为感染新型冠状病毒的风险最低：","","","去武汉旅游","与患者亲密接触","从武汉回家","哪儿也不去，待在家里","3","正确答案：D 哪儿也不去，待在家里。",""
"哪个场景不属于和新型冠状病毒肺炎患者亲密接触？","","","与患者曾经同坐一辆车","与患者一起吃过饭","与患者是同一办公室同事","曾远远地看患者上救护车","3","正确答案：D 曾经远远地看见患者上救护车。",""
"哪个是新型冠状病毒肺炎的常见症状？","","","发热（体温≥38℃）","呼吸急促、咳嗽","浑身乏力","以上都是","3","正确答案：D 以上都是。",""
"下列哪个不是新型冠状病毒肺炎的常见症状？","","","休息或日常活动时呼吸困难","腹泻","皮疹","感冒好转后，情况突然恶化","2","正确答案：C 皮疹<br/>据《新型冠状病毒肺炎诊疗快速指南》，该肺炎起病以发热为主要临床表现，可合并轻度干咳、乏力、呼吸不畅、腹泻等症状，流涕、咳痰等其他症状少见。如果出现感冒好转后，情况突然恶化，也需要警惕。",""
"哪个口罩可以预防新型冠状病毒肺炎？","","https://mat1.gtimg.com/news/zt2020/2020wuhan/images/q12.png","纸口罩","棉布口罩","活性炭口罩","医用外科口罩","3","正确答案：D 医用外科口罩。",""
"一个口罩能用几次？","","","1次","2次"," 3次","4次","0","正确答案：A 1次",""
"一个口罩最长能用几小时? ","","","1小时","2小时"," 3小时","4小时","3","正确答案：D 4小时。",""
"哪个情况需要立即更换口罩？","","","接触完发热的人","刚刚打了喷嚏","口罩已经出现折损","以上都需要","3","正确答案：D 以上都需要。",""
"做完哪些事后需要洗手？","","","出门回来","接触眼、口、鼻之前","做饭前","都需要","3","正确答案：D 都需要<br/>知识官阿源老师：以下场景应该洗手：外出回家，咳嗽或打喷嚏后，触摸口、鼻、眼之前，吃饭前，做饭前，处理食物前后，上厕所后，接触动物后。",""
"下面哪个场所，危险性最低？","","","海鲜市场","家里","办公室","菜市场","1","正确答案：B 家里",""
"当听说所在城市出现病例时，最保险的做法是：","","","正常过年、聚会","紧闭门窗，防止病毒侵入","尽量不外出，外出佩戴口罩","马上逃离，去其他城市","2","正确答案：C 尽量不外出，外出佩戴口罩<br/>知识官阿源老师：避免到人群密集的地方，及出门佩戴口罩可以明显的降低感染风险；而为了提升室内空气质量，应该选择通风；聚会或到其他城市，都有可能到人群密集的地方，而导致风险升高。",""
"回家过年，下面哪道菜最好不要做？","","","烤竹鼠","炝炒白菜","红烧猪肉","干煸豇豆","0","正确答案：A 烤竹鼠<br/>知识官阿源老师：正是因为野味才引起了这次感染，因此我们应该避免食用竹鼠等。",""
"小红有一份来自武汉的快递，以下做法正确的是：","","","口罩从武汉发货，拒收","纸巾从武汉发货，拒收","野味从武汉发货，不下单","衣服从武汉发货，拒收","2","正确答案：C 野味从武汉发货，不下单<br/>武汉的正常快递不需要拒收，因为病毒在体外存活时间有限，且快递在运输过程中经过了充分的通气，很难成为病毒的载体。但是对于肉类等，目前还是需要谨慎对待。",""
"小红在武汉工作，已经出现了发热，正确的做法是：","","","吃完退烧药就不管了","就近去医院发热门诊就诊","为了团圆，坐飞机回老家","默默忍受，坚持工作","1","正确答案：B 就近去医院发热门诊就诊",""
"小红从武汉回来，约小李见面，小李最安全的做法是：","","","约在咖啡厅见面","约在公园见面","约在酒吧见面","视频见面，建议她监测体温","3","正确答案：D 视频见面，建议小红监测体温",""
"路上遇见戴口罩的人，我们应该：","","","感到恐慌，躲开他","骂他小题大做","向他学习，口罩戴起来","无视他","2","正确答案：C 向他学习，口罩戴起来<br/>知识官阿源老师：这个冬季不仅有新型冠状病毒肺炎，还有流感的流行，我们外出时佩戴口罩，可以有效预防两种疾病，应该学习起来。",""
"下列哪个说法是正确的？","","","空气不好才需要戴口罩","已确定人传人，需口罩防范","不吃野味就没事","我抵抗力好，不需要戴口罩","1","正确答案：B 已确定人传人，需要口罩防范<br/>知识官阿源老师：钟南山院士在接受央视采访时，已经声明新型冠状病毒肺炎存在人传人。",""
"下列关于新型冠状病毒肺炎说法错误的是：","","","与患者亲密接触会被传染","病毒可能来自野味","它就是SARS ","会通过飞沫传染","2","正确答案：C 它就是SARS。<br/>知识官阿源老师：武汉这次的疾病是新型冠状病毒肺炎，其病毒名字是2019-nCOV，与2003年的SARS病毒不是同一个疾病。",""
"春节回家如何让自己旅途更为安全？","","","避开经过武汉的列车","出行佩戴N95口罩","旅途自带免洗洗手液勤洗手","以上都对","3","正确答案：D 以上都对<br/>知识官阿源老师：目前主要的感染者集中在武汉地区，因此避开经过武汉的列车可以有效降低风险；出行佩戴 N95 口罩是有效的预防手段；旅途自带免洗洗手液，在接触口、眼、鼻之前，吃饭之前、上厕所之后洗手，均可减少自己的感染风险。",""
"新型冠状病毒和SARS病毒什么关系？","","","一样","近亲","完全没有关系","不好说","1","正确答案：B 近亲。",""
"有限人传人的特点是：","","","病毒传染力相对较弱"," A传给B，B没有传染性","以上都对","以上都不对","2","正确答案：C 以上都对<br/>知识官阿源老师：有限人传人指的是，甲感染了传染病，将其传染给了乙、丙，但乙、丙并不具备足够的传染性，无法再传染给其他人了。",""
"持续人传人的特点是：","","","很容易形成流行"," A传给B，B可以传给C ","病毒传染力强","以上都对","3","正确答案：D 以上都对<br/>持续人传人指的是病毒可以连续传几代，比如A传给B，B又传给C，C又传给D，这意味着病毒传播能力比初期的动物传人、人传人更强，感染人数呈指数增加，很容易形成传染病流行。",""
"小红是武汉人，已经订了回家的高铁票，今天放假了，最安全的选择是：","","","按照既定行程回家","取消行程，待在现住地","取消行程去外地玩","将高铁票换成飞机票","1","正确答案：B 取消行程，待在现住地<br/>知识官阿源老师：国家卫健委高级别专家组专家呼吁公众：现在能不到武汉去就不去，武汉人能不出来就不出来。",""
"身边朋友出现了发热症状，我应该：","","","避免和朋友近距离接触","建议朋友佩戴口罩并就诊","减少自身出行计划","以上都对","3","正确答案：D 以上都对<br/>防护手段包括：出门佩戴口罩，医用外科口罩、N95 外科口罩等均可，最长可持续使用 4 小时或内层变湿润；勤洗手；避免去人多的地方；保持家里通风；咳嗽、打喷嚏时，用纸巾捂住口鼻，事后要洗手；在家要吃熟食，肉类、蛋类、奶类等。",""
"下面正确佩戴口罩的方式：","","https://mat1.gtimg.com/news/zt2020/2020wuhan/images/q34.png","吸水面朝外","鼻子外漏","遮住口鼻，紧贴鼻梁","穿戴污染口罩","2","正确答案：C 遮住口鼻，紧贴鼻梁<br/>知识官阿源老师：武汉肺炎爆发后，天天给你转发养生知识的中国父母，还暴露在拒绝戴口罩的危险之下。",""
"电吹风对着吹三十秒可以消毒？","","","可以","不可以","","","1","正确答案：B 不可以。<br/>新型冠状病毒对热敏感，但需要在56摄氏度下，30分钟，才能灭活，所以这种说法是错误的。",""
"84消毒液喷洒空气可以消毒？","","","可以","不可以","","","1","正确答案：B 不可以。<br/>84消毒液用于物体表面的消毒，并且要达到一定的浓度才能取得好的效果。",""
"点艾灸可以消毒杀菌？","","","可以","不可以","","","1","正确答案：B 不可以。<br/>新型冠状病毒感染的肺炎诊疗方案(试行第三版)中明确指出新型冠状病毒对热敏感，56℃30分钟、乙醚、75%乙醇、含氯消毒剂、过氧乙酸和氯仿等脂溶剂均可有效灭活病毒。并没有关于艾灸的推荐，所以是不可以的。",""
"紫外线消毒灯可以杀灭新型冠状肺炎病毒？","","","可以","不可以","","","0","正确答案：A 可以。<br/>北京市关于呼吸道传播性疾病（新型冠状病毒感染的肺炎）环境清洁消毒建议（试行）指出:病人检查后，感染疾病科医生或护士指导，检查床及周围表面使用消毒剂喷雾消毒，作用30min，技术员对控制台进行常规物表消毒；全体人员离开后，放射科技术员打开紫外线灯对检查室进行消毒，消毒时间>30min。",""
"用过的口罩可以直接用84消毒液浸泡消毒？","","","可以","不可以","","","1","正确答案：B 不可以。<br/>目前可以用于防护病毒的口罩是外科口罩和医用防护口罩，这几种口罩都是一次性的，遇到水后，防护效力就会减弱或消失，所以是不可以的。",""
"白醋加热雾化有消毒预防效果？","","","有","没有","","","1","正确答案：B 没有。<br/>针对新型冠状病毒目前只推荐56℃30分钟、乙醚、75%乙醇、含氯消毒剂、过氧乙酸和氯仿等消毒的方法。",""
"酒精放入加湿器，喷出的雾气可以进行房间消毒？","","","可以","不可以","","","1","正确答案：B 不可以<br/>只有75%的酒精才可以杀灭新型冠状病毒，放入加湿器是达不到这样的浓度的。即使能达到也不主张应用，因为高浓度挥发的酒精会对人体的气管产生刺激，导致不良后果。",""
"超市或者药店买的含氯消毒液可以消毒新型肺炎病毒？","","","可以","不可以","","","0","正确答案：A 可以<br/>含氯消毒液是可以杀灭新型状病毒的，但要达到一定的浓度。",""
"在手上喷洒医用酒精可以起到消毒效果？","","","可以","不可以","","","0","正确答案：A 可以<br/>只限于75%的酒精可以杀灭新型冠状病毒。",""
"含氯消毒粉对新型冠状病毒有预防作用？","","","有","没有","","","0","正确答案：A 有<br/>含氯消毒粉是可以杀灭新型冠状病毒的，需要做成水剂使用，氯的有效浓度要达到400-700mg/L，主要用于地面和物体表面的消毒。",""
"双氧水消毒对肺炎病毒有用？","","","有","没有","","","0","正确答案：A 有<br/>双氧水是过氧化物的一种，对新型冠状病毒是有效的，但3%的双氧水通常用于伤口清洁，而不用于环境消毒。",""
"火碱能用来抗新型冠状病毒肺炎？","","","能","不能","","","1","正确答案：B 不能<br/>火碱成分为氢氧化钠，是强碱，具有强腐蚀性。可用于杀灭新型冠状病毒的化学消毒剂包括：乙醚、75%乙醇、含氯消毒剂、过氧乙酸和氯仿，并不包括氢氧化钠，所以是不可以的。",""
"花露水含有酒精，可以消毒？","","","可以","不可以","","","1","正确答案：B 不可以<br/>只有75%的酒精才可以杀灭新型冠状病毒，花露水中的酒精含量微乎其微，是不可以用于消毒的。",""
"可以用喝的白酒稀释替代酒精消毒？","","","可以","不可以","","","1","正确答案：B 不可以<br/>酒精作为医用消毒剂是要达到一定的浓度的，只有达到特定的浓度才具有杀灭病毒的作用，白酒稀释很难达到标准的有效浓度。",""
"白醋煮沸可以消毒？","","","可以","不可以","","","1","正确答案：B 不可以<br/>醋中的主要成分是醋酸，也就是乙酸。过氧乙酸是可以杀灭新型冠状病毒的，但乙酸不是过氧乙酸，这是不同的两种物质。",""
"盐水漱口可以消毒？","","","可以","不可以","","","1","正确答案：B 不可以<br/>口腔医学研究表明，不论是用清水、还是用盐水漱口，对暂时减少口腔细菌的数量是有效的。作用原理是通过漱口减少口腔中病原微生物的定植，而不是杀灭病原微生物。消毒是指杀死病原微生物、但不一定能杀死细菌芽孢的方法。",""
"风油精能杀菌消毒？","","","能","不能","","","1","正确答案：B 不能<br/>乙醚、75%乙醇、含氯消毒剂、过氧乙酸和氯仿是可以杀灭新型冠状病毒的，而风油精中没有有效杀灭病毒的成分。",""
"泡腾消毒片可以进行消毒？","","","可以","不可以","","","0","正确答案：A 可以<br/>含氯的泡腾消毒片是可以用于消毒的，它溶解于水中，配成一定浓度的消毒液是可以用于消毒的。",""
"95%的酒精消毒液可以预防新型冠状病毒？","","","可以","不可以","","","1","正确答案：B 不可以<br/>只有75%的酒精才可以用于针对新型冠状病毒的消毒，95%的酒精会凝固病原体表面的蛋白质，形成“盔甲”，反而不容易杀死病毒。",""
"新型冠状病毒会不会感染猫狗？","","","不会","会","不知道","可能会","0","知识官崔尚金老师：<span>尚未有证据表明新型冠状病毒可以感染猫狗。新型冠状病毒溯源研究显示，新型冠状病毒来源于野生动物。当前尚无证据表明猫狗可以感染新型冠状病毒，但还是要防患于未然，加强管理，从严防疫。</span>",""
"当前新型冠状病毒感染的肺炎疫情严峻，适合在室外遛狗吗？","","","适合","不适合","尽量减少户外遛狗","无所谓","2","知识官崔尚金老师：<span>为了配合新型冠状病毒感染防疫要求，应当减少户外遛狗活动，减少猫狗与流浪猫狗接触的机会。这不仅仅是对宠主的一种保护，也是对犬猫的一种保护。</span>",""
"为预防宠物冠状病毒感染，下列做法不正确的是？ ","","","避免带去宠物集中场所","及时清洁宠物食具、粪便","外出回家直接拥抱宠物","在家多增加宠物运动量","2","知识官崔尚金老师：<span>疫病发生期间，应尽量减少宠物外出，维持良好的居家环境，及时清洁食具与粪便。并增加宠物运动量，进而增强其免疫力。主人外出回家后，应在换鞋、换衣服、清洁手部后再抚摸、拥抱宠物。</span>",""
"用消毒剂定期对宠物活动区域进行消毒,下列哪种消毒剂消毒效果不明显？","","","75%酒精","1%新洁尔灭","5%过氧乙酸","0.2%去氧胆酸钠溶液","1","知识官崔尚金老师：<span>日常应定期对宠物器具及活动场所进行消毒，消毒时要注意消毒剂的有效浓度。1%新洁尔灭对冠状病毒消毒效果不明显，但高于该浓度就具有良好的消毒效果。除此之外，75%酒精、5%过氧乙酸、0.2%去氧胆酸钠溶液等脂溶性消毒剂对病毒都有良好的消毒效果。</span>",""
"养猫、狗等宠物的家里消毒不应该使用：","","","氯已定类消毒剂 ","0.2%-0.5%的过氧乙酸消毒液","75%的乙醇","0.2%-0.5%的84消毒液","0","知识官崔尚金老师：<span>氯已定类消毒剂对冠状病毒基本无效。</span>",""
"为预防宠物感染冠状病毒，下列对饮食方面采取的措施不合理的是：","","","宠物粮中加入适当的蔬菜","补充多种维生素","加入适当的微量元素添加剂","大大增加肉、奶的比例","3","知识官崔尚金老师：<span>冠状病毒主要引起宠物胃肠道疾病，呕吐、腹泻等。同时容易和其他传染病，如犬细小病毒、猫泛白细胞减少症病毒同时感染，引起免疫力下降，因此应在日粮中适当加入蔬菜，补充多种维生素，加入适当的微量元素来增加机体免疫力。尽量减少肉、奶的比例，避免增加肠胃负担，诱发病毒感染。</span>",""
"猫感染的冠状病毒所引起的疾病是哪个？","","","猫瘟 ","猫传染性腹膜炎","猫肝炎 ","猫肺炎","1","知识官崔尚金老师：<span>猫传染性腹膜炎又称猫冠状病毒病，是由猫传染性腹膜炎病毒引起的猫及猫科动物的一种多系统性血管炎。该病传染率高，一般认为是经口鼻感染。携带病毒猫可由粪便排毒，经粪便可传播给同居的猫;少数可经衣服、器具、人等机械途径传染。</span>",""
"下列哪个说法是正确的？","","","犬冠状病毒是DNA病毒","犬冠状病毒可以传染人","犬冠状病毒不能使人患病","犬冠状病毒引起犬肺炎","2","知识官崔尚金老师：<span>犬冠状病毒和新型冠状病毒一样，也是RNA病毒，但他不能在人类之间传播。</span>",""
"猫传染性腹膜炎病毒，又称为猫肠道冠状病毒，该病毒感染哪个年龄段的猫最多？","","","小于1岁","2~5岁","5~10岁","10岁以上","0","知识官崔尚金老师：<span>猫传染病腹膜炎病毒可以感染各种年龄的猫，常见于0.5~5岁的猫，其中小于1岁猫的病例占多数。</span>",""
"为了有效应对此次新型冠状病毒感染，下列情况不正确的是：","","","在家做好卫生清洁、消毒 ","给宠物喂食生肉","在外做好防护，戴口罩","及时消毒，以免交叉感染","1","知识官崔尚金老师：<span>生肉中可能携带大量的细菌病毒，可能会造成不必要的感染或疾病的发生，在日常的宠物饮食中，应该喂食熟食和宠物专用粮。</span>",""
"冠状病毒肺炎来袭，请问宠物是否需要做好清洁及防护？","","","需要","不需要","无所谓","看心情","0","知识官崔尚金老师：<span>虽然目前并未发现宠物感染该新型冠状病毒，但新冠病毒可以通过飞沫传播，为避免宠物外出后携带新冠病毒回家，因此非常有必要做好宠物的清洁与防护。外出遛狗回家后应清洁脚丫及身体。</span>",""
"以下关于疫情期间遛狗的描述错误的是：","","","不给狗狗佩戴牵引绳","回家后给狗狗做好清洁","尽量远离流浪动物","适当减少遛狗时间","0","知识官崔尚金老师：<span>给狗狗佩戴牵引绳可以对其有效控制，避免狗狗接触野生动物、流浪动物及其排泄物。不能控制在户外捡食的狗狗可佩戴口罩。</span>",""
"如果家里新来了一只猫咪你应该怎么做？","","","饲养在家","尽快体检并适当隔离观察","请朋友一起来“吸猫”","马上打疫苗","1","知识官崔尚金老师：<span>如果是收养的野猫可能会有疾病，应该先带它去医院检查身体，以及打疫苗；如果是别人送的，或买的健康小猫，可以先饲养两周后去体检或打疫苗。</span>",""
"养猫时家中的消毒是否需要？","","","不是很需要","需要 ","看心情","随便","1","知识官崔尚金老师：<span>定期消毒是比较需要的。家里日常消毒，不一定要用84这么强烈的消毒液，可以选用宠物用的消毒液，并进行定期消毒。</span>",""
"本次新型冠状感染肺炎是否跟犬猫冠状病毒是同一种病毒？","","","不是","一模一样 ","不知道","可能是","0","知识官崔尚金老师：<span>不是。冠状病毒是一种具有包膜的RNA病毒，广泛存在于人类、哺乳动物和鸟类宿主，可以导致呼吸道、肠道、肝脏和神经系统疾病。这次新型冠状病毒属于冠状病毒科冠状病毒属β冠状病毒，而犬冠状病毒和猫冠状病毒属于冠状病毒科冠状病毒属α冠状病毒，由病毒分类学上而言，新型冠状病毒与犬猫冠状病毒不是同一种病毒。</span>",""
"以下关于养宠物的卫生习惯的表述错误的是：","","","回家后接触宠物前洗手","用宠物用消毒剂清洗笼具","95%酒精消毒比75%更好","宠物排泄物应倒入马桶","2","知识官崔尚金老师：<span>酒精杀菌消毒能力的强弱与其浓度大小有直接的关系，过高或过低都不行。75％的酒精与细菌的渗透压相近，可以在细菌表面蛋白未变性前逐渐不断地向菌体内部渗入，使细菌所有蛋白脱水、变性凝固，最终杀死细菌。</span>",""
"此次肺炎疫情爆发后，有宠物饲养的家庭应注意的事项中表述错误的是：","","","为防止传染病而放弃饲养","定期给家中清洁卫生并消毒","遛狗回家后应注意清洁","尽量去人少的地方遛狗","0","知识官崔尚金老师：<span>2019-nCoV为β属，与猫狗冠状病毒为两类完全不同的病毒，无法感染猫、狗等宠物，也就无法在宠物体内完成大量复制的任务。所以不存在隐性携带，感染人类的情况，因此不要因为担心新冠肺炎而弃养宠物。</span>",""
"孕妇和小朋友与宠物之间的利弊关系是什么样的？","","","弊大于利","利大于弊","没有关系","不知道","1","知识官崔尚金老师：<span>养宠物可以帮助小朋友适应过敏源，可以帮助小朋友驱逐孤独感。虽然孕期饲养宠物有感染弓形虫的风险，但我们如果严格做好宠物的疫苗健康工作，给自己和萌宠都做一个有关弓形虫的体检，是完全可以避免弓形虫感染的。</span>",""
"弓形虫的感染途径不包括哪一项？ ","","","空气传播","消化道传播","胎盘转移","不知道","0","知识官崔尚金老师：<span>人感染弓形虫，可能是吃没有完全煮熟的肉，或被没有完全煮熟的肉污染的食物，这些肉含有弓形虫的包囊或假包囊。也可能是家中养猫导致传染，猫如果感染了弓形虫，粪便中可以排出卵囊，卵囊在外界发育一段时间可以成熟，成熟的卵囊如果污染了人的食物，或者通过其他途径进入人的口中、进入消化道，可以导致人感染。</span>",""
"使用人用消毒水对宠物消毒是否正确？","","","正确","不正确","不知道","无所谓","1","知识官崔尚金老师：<span>家里养宠物的一定要用宠物消毒水进行消毒，人类消毒水对宠物可能刺激性较强，可能会影响宠物健康，而宠物专用消毒水相对较温和。</span>",""
"犬冠状病毒感染后引起的发病症状不包括以下哪项？","","","呕吐","腹泻","肺炎","厌食","2","知识官崔尚金老师：<span>犬冠状病毒感染后会引发狗发生程度不同的胃肠炎症状，特征有频繁呕吐、腹泻、沉郁、厌食等症状。</span>",""
"猫冠状病毒感染后引起猫的发病症状不包括以下哪项？","","","体温升高","贫血、黄疸","呕吐、腹泻","肺炎","3","知识官崔尚金老师：<span>感染猫冠状病毒引起猫传染性腹膜炎，传染率非常高，一般认为是经口鼻感染。</span>",""
