"ques","flag","img","item__001","item__002","item__003","item__004","ans","tip","tip_ig"
"一个口罩最长能用几小时? ","","","1小时","2小时"," 3小时","4小时","3","正确答案：D 4小时。",""
"哪个情况需要立即更换口罩？","","","接触完发热的人","刚刚打了喷嚏","口罩已经出现折损","以上都需要","3","正确答案：D 以上都需要。",""
"做完哪些事后需要洗手？","","","出门回来","接触眼、口、鼻之前","做饭前","都需要","3","正确答案：D 都需要<br/>知识官阿源老师：以下场景应该洗手：外出回家，咳嗽或打喷嚏后，触摸口、鼻、眼之前，吃饭前，做饭前，处理食物前后，上厕所后，接触动物后。",""
"下面哪个场所，危险性最低？","","","海鲜市场","家里","办公室","菜市场","1","正确答案：B 家里",""
"当听说所在城市出现病例时，最保险的做法是：","","","正常过年、聚会","紧闭门窗，防止病毒侵入","尽量不外出，外出佩戴口罩","马上逃离，去其他城市","2","正确答案：C 尽量不外出，外出佩戴口罩<br/>知识官阿源老师：避免到人群密集的地方，及出门佩戴口罩可以明显的降低感染风险；而为了提升室内空气质量，应该选择通风；聚会或到其他城市，都有可能到人群密集的地方，而导致风险升高。",""
"回家过年，下面哪道菜最好不要做？","","","烤竹鼠","炝炒白菜","红烧猪肉","干煸豇豆","0","正确答案：A 烤竹鼠<br/>知识官阿源老师：正是因为野味才引起了这次感染，因此我们应该避免食用竹鼠等。",""
"小红有一份来自武汉的快递，以下做法正确的是：","","","口罩从武汉发货，拒收","纸巾从武汉发货，拒收","野味从武汉发货，不下单","衣服从武汉发货，拒收","2","正确答案：C 野味从武汉发货，不下单<br/>武汉的正常快递不需要拒收，因为病毒在体外存活时间有限，且快递在运输过程中经过了充分的通气，很难成为病毒的载体。但是对于肉类等，目前还是需要谨慎对待。",""
"小红在武汉工作，已经出现了发热，正确的做法是：","","","吃完退烧药就不管了","就近去医院发热门诊就诊","为了团圆，坐飞机回老家","默默忍受，坚持工作","1","正确答案：B 就近去医院发热门诊就诊",""
"小红从武汉回来，约小李见面，小李最安全的做法是：","","","约在咖啡厅见面","约在公园见面","约在酒吧见面","视频见面，建议她监测体温","3","正确答案：D 视频见面，建议小红监测体温",""
"路上遇见戴口罩的人，我们应该：","","","感到恐慌，躲开他","骂他小题大做","向他学习，口罩戴起来","无视他","2","正确答案：C 向他学习，口罩戴起来<br/>知识官阿源老师：这个冬季不仅有新型冠状病毒肺炎，还有流感的流行，我们外出时佩戴口罩，可以有效预防两种疾病，应该学习起来。",""
"下列哪个说法是正确的？","","","空气不好才需要戴口罩","已确定人传人，需口罩防范","不吃野味就没事","我抵抗力好，不需要戴口罩","1","正确答案：B 已确定人传人，需要口罩防范<br/>知识官阿源老师：钟南山院士在接受央视采访时，已经声明新型冠状病毒肺炎存在人传人。",""
"下列关于新型冠状病毒肺炎说法错误的是：","","","与患者亲密接触会被传染","病毒可能来自野味","它就是SARS ","会通过飞沫传染","2","正确答案：C 它就是SARS。<br/>知识官阿源老师：武汉这次的疾病是新型冠状病毒肺炎，其病毒名字是2019-nCOV，与2003年的SARS病毒不是同一个疾病。",""
"春节回家如何让自己旅途更为安全？","","","避开经过武汉的列车","出行佩戴N95口罩","旅途自带免洗洗手液勤洗手","以上都对","3","正确答案：D 以上都对<br/>知识官阿源老师：目前主要的感染者集中在武汉地区，因此避开经过武汉的列车可以有效降低风险；出行佩戴 N95 口罩是有效的预防手段；旅途自带免洗洗手液，在接触口、眼、鼻之前，吃饭之前、上厕所之后洗手，均可减少自己的感染风险。",""
"新型冠状病毒和SARS病毒什么关系？","","","一样","近亲","完全没有关系","不好说","1","正确答案：B 近亲。",""
"有限人传人的特点是：","","","病毒传染力相对较弱"," A传给B，B没有传染性","以上都对","以上都不对","2","正确答案：C 以上都对<br/>知识官阿源老师：有限人传人指的是，甲感染了传染病，将其传染给了乙、丙，但乙、丙并不具备足够的传染性，无法再传染给其他人了。",""
"持续人传人的特点是：","","","很容易形成流行"," A传给B，B可以传给C ","病毒传染力强","以上都对","3","正确答案：D 以上都对<br/>持续人传人指的是病毒可以连续传几代，比如A传给B，B又传给C，C又传给D，这意味着病毒传播能力比初期的动物传人、人传人更强，感染人数呈指数增加，很容易形成传染病流行。",""
"小红是武汉人，已经订了回家的高铁票，今天放假了，最安全的选择是：","","","按照既定行程回家","取消行程，待在现住地","取消行程去外地玩","将高铁票换成飞机票","1","正确答案：B 取消行程，待在现住地<br/>知识官阿源老师：国家卫健委高级别专家组专家呼吁公众：现在能不到武汉去就不去，武汉人能不出来就不出来。",""
"身边朋友出现了发热症状，我应该：","","","避免和朋友近距离接触","建议朋友佩戴口罩并就诊","减少自身出行计划","以上都对","3","正确答案：D 以上都对<br/>防护手段包括：出门佩戴口罩，医用外科口罩、N95 外科口罩等均可，最长可持续使用 4 小时或内层变湿润；勤洗手；避免去人多的地方；保持家里通风；咳嗽、打喷嚏时，用纸巾捂住口鼻，事后要洗手；在家要吃熟食，肉类、蛋类、奶类等。",""
"下面正确佩戴口罩的方式：","","https://mat1.gtimg.com/news/zt2020/2020wuhan/images/q34.png","吸水面朝外","鼻子外漏","遮住口鼻，紧贴鼻梁","穿戴污染口罩","2","正确答案：C 遮住口鼻，紧贴鼻梁<br/>知识官阿源老师：武汉肺炎爆发后，天天给你转发养生知识的中国父母，还暴露在拒绝戴口罩的危险之下。",""
