"title","descrip","LiuyanType","answer","detail","type"
"鱼只有7秒记忆","早在很久以前，有人告诉我：鱼的记忆只有7秒，7秒之后它就不会记得曾经的事情了，所有的一切又都会变成崭新的开始。所以，在那一方小小的鱼缸里面，它永远不会觉得无聊。","0","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	事实上，如果把“鱼的记忆有7秒”当成一个科学的结论，就会产生很多疑问。记忆能力可以被精确到秒吗？如果鱼的平均记忆有7秒，那么一些比较笨的鱼的记忆岂不是只有2、3秒？当这些“笨”鱼咬了一口食物以后，会不会瞬间忘记嘴里含着的东西是什么？<br>\n<br>\n幸运的是，鱼类作为脊椎动物中较早出现的物种，有着相当独特的进化地位，所以，有很多科学研究是关于鱼类记忆的。虽然作为实验材料的鱼的种类并不相同，实验方法和具体的目的也不一样，不过几乎所有关于鱼类记忆的研究都表明，鱼的记忆远不止7秒。<br>\n<br>\n<br>\n<h2><strong>实验证据，妥妥地</strong></h2>\n早在上世纪60年代，当化学开始介入神经生物学的时候，就已经有人研究金鱼的记忆能力了。1965年，美国密歇根大学的研究人员用金鱼做了一个实验。他们把金鱼放在一个很长的鱼缸里，然后在鱼缸的一端射出一道亮光，20秒后，再在鱼缸射出亮光的一端释放电击。很快，金鱼就对电击形成了记忆，当它们看到光的时候，不等电击释放到水里就会迅速游到鱼缸的另一头，以躲避电击。设计实验的科学家们发现，只要进行合理的训练，这些金鱼可以在长达1个月的时间里一直记住躲避电击的技巧。<br>\n<br>\n除了金鱼，另一种有名的观赏鱼——天堂鱼——也有很强的记忆能力。当这种鱼在水池中遇到陌生的金鱼时，会好奇地游来游去，打量着新来的陌生邻居，直到失去兴趣为止。如果天堂鱼和金鱼第二次在水箱中相遇的话，它们会很快发现对方是老熟人而失去探索的兴趣。实验发现，这样的记忆力至少可以保持3个月的时间。<br>\n<br>\n很快，科学家发现生物学研究上的模式生物——斑马鱼——也是一种相当聪明的动物，可以完成各种各样的任务。2002年，美国俄亥俄州的托雷多大学（University of Toledo）的几位研究人员测试了斑马鱼的记忆能力。在训练过程中，他们会在喂食前给斑马鱼一个红光作为信号，训练中止10天以后，斑马鱼仍然记得红灯信号说明进食的时间到了。在实验室里，斑马鱼还可以很快学会如何走迷宫<a href=""http://www.guokr.com/article/116781/#id24"">[6]</a>，根据声音信号寻找食物，记住捕食者的形状，根据提示躲避电击。<br>\n<br>\n有趣的是，斑马鱼和人类的记忆特点有相似之处。对于这些小鱼而言，过大的压力会让它们记不住东西，注意力分散也会降低学习效率。斑马鱼的记忆能力也会随着衰老而逐渐减退。<br>\n<br>\n<br>\n<h2><strong>长期记忆也不是不可能</strong></h2>\n那么，鱼类会不会有更加强大的记忆能力呢，例如把一件事记上好几年？相关的学术研究非常有限，这是因为很多种类的鱼甚至活不了那么长的时间，而且数年的时间对于一个急着发表论文的研究生来说也确实太长了。不过，也有一些并不正式的观察结果显示，某些鱼类确实可能有长时间的记忆。<br>\n<br>\n伊利诺伊大学香槟分校心理系的教授埃里克森（Charles W. Eriksen）曾经注意到，他的邻居在喂鱼前总要摇晃装鱼食的罐子，而池塘中的鱼在听到鱼食在罐中晃动的声音以后，也会从四面八方聚拢，准备进食。受到这个现象的启发，埃里克森决定做一个相当简单的实践。他在自家的鱼池里养了一些鲶鱼，每次喂鱼的时候埃里克森都要大喊几声“鱼！鱼！”（fish-fish）。经过了几个月的训练，每当埃里克森喊话的时候，总会有19条鲶鱼游到他的身边。第二年夏天，埃里克森又重复了一遍这一过程，这一次，一共有16条鱼听从他的口令。<br>\n<br>\n当埃里克森再次回到他的鱼池的时候，已经过去了5年的时间。不过他仍然决定测试一下自己养的鲶鱼还有没有保存着之前的记忆。于是，埃里克森再一次来到池塘旁边，喊了几声“鱼！鱼！”。让他吃惊的是，即使他还没有来得及把鱼食投到水里，已经有9条鱼游了过来。第二天，接受他召唤的鲶鱼的数量增加到了13条。埃里克森在给同行的信中描述了这个实验，作为鱼类记忆能力的参考。<br>\n<br>\n加拿大英属哥伦比亚大学（University of British Columbia）的鱼类学家皮彻（Tony J. Pitcher）也曾经在《鱼类认知和行为》（Fish Cognition and Behavior）一书中描述过一个实验。在他的实验室中，金鱼饲养池里被置入了两种不同颜色的管子。只有当金鱼选择了正确的颜色，才能获得食物。在训练了一段时间以后，带有颜色的管子被取出。过了一年，当研究人员再一次把管子放入池中的时候，金鱼立刻选择了带有可以取得食物颜色的管子。<br>\n<br>\n埃里克森的观察和皮彻的实验说明，鱼类很可能有长达一年至数年的记忆。考虑到大部分鱼类的寿命也只有几年时间，它们的记忆还是相当持久的。此外，还有一些研究表明，著名的洄游鱼类鲑鱼之所以能够在成年以后返回自己的出生地，是因为它们对自己幼年的生活环境的气味形成了记忆。<br>\n<br>\n<br>\n<h2><strong>鱼为什么有记忆</strong></h2>\n为什么鱼类会有记忆能力？这个问题很复杂，很多研究也只是初步揭示了某些可能的原因。如果给幼年的斑马鱼闻到苯乙醇（Phenethyl alcohol）的芳香气味，这些斑马鱼直到成年都能记住这种味道。研究显示，暴露在苯乙醇之下的幼年斑马鱼的嗅上皮（olfactory epithelium）细胞中，有一个叫做 <i>otx2</i> 的基因的表达量明显增加了。而且，这个基因即使在斑马鱼发育到成年以后，仍然保持在很高的水平。有意思的是，如果让幼年斑马鱼暴露在其它气味面前， <i>otx2</i> 基因并不会持续地提高表达量，这说明 <i>otx2</i> 很可能是让斑马鱼记住苯乙醇的特殊气味的分子。<br>\n<br>\n<br>\n<h2><strong>结论</strong></h2>\n在世界上的其它国家，鱼只有7秒（或者3秒）记忆的说法也流传甚广。根据悉尼大学的沃德（Ashley Ward）的考证，这种说法来自一则广告。但是也许是历史过于久远的原因，准确的来源已经很难找到了。沃德还认为，早期的动物学家在测试鱼类记忆能力的时候，采用了过于复杂的方法。这些适合对人类进行智力测试的任务对鱼类来说显然太困难了，所以实验的鱼类留下了比较糟糕的记录，这可能也是这则流言产生的原因之一<a href=""http://www.guokr.com/article/116781/#id30"">[12]</a>。总之，所有关于鱼类记忆的研究都表明，鱼的记忆远不止7秒。“鱼的记忆只有7秒，永远不会觉得无聊”的说法尽管美丽，只是传说。<br>\n<br>\n<br>\n<h4><strong>参考资料</strong></h4>\n[1]<a href=""http://www.guokr.com/article/116781/"">鱼只有7秒记忆吗？</a> 拟南芥，果壳网谣言粉碎机\n	</div>\n</div>","科学技术"
"兔子不能喝水","兔子容易腹泻，所以不能喂水给它喝，多喂蔬菜补水。","0","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	兔子很容易腹泻，而腹泻后又极易死亡，所以很多人就把兔子喝水和腹泻联系在一起，而事实上是这两者没有任何关系，兔子不但可以喝水，而且必须供应充足的饮水，6月龄的兔子每天可以喝500-1000毫升的饮水，而1个月大的兔子每天也能喝100-200毫升水，很多养兔的朋友认为蔬菜可以代替饮水，其实这是大错特错的，水是不能用蔬菜替代的，<br>\n<br>\n而且对于兔子来说，过量的食入蔬菜，反而会导致腹泻，所以要想把兔子养活，正确的方法是供应充足的饮水，蔬菜每日供应1-2次即可，供应量要根据每个兔兔的肠胃承受能力具体实施。很多小兔兔在没有任何症状下莫名其妙的死亡了，这跟没有水喝，有着直接的关系。任何哺乳动物脱水20%即死亡。<br>\n<br>\n<br>\n<h4><strong>参考资料</strong></h4>\n[1] <a href=""http://www.guokr.com/question/352319/"">兔子不能碰水吗</a>，Ent，果壳网问答\n	</div>\n</div>","科学技术"
"不同地点看到的月亮不一样","不同地点看到的月亮不一样。","0","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	严格来说，不同地点在同一时刻看到的月亮，确实会略有不同。毕竟月亮距离地球只有大约38万千米，而地球自身的直径就超过1.2万千米。所以在同一时刻，从南到北，从东到西，差不多半个地球上的人在看同一个月亮的时候，视角差异最大也偏差不到2度。<br>\n<br>\n不过请注意，这最大不到2度的视角差异实际上只是一点儿地方差别，是由于不同地点的特殊自身特点造成的细微差别。它不会影响到我们看到的月亮的主体与本质。<br>\n<br>\n月亮的形状，也就是月相，主要是由地球－月亮－太阳这三者之间的相对位置决定的。同一时刻区区不到2度的视角差异，还不足以改变月相到肉眼明显能够察觉的地步，更不用说差异到一个是圆月，一个是亏月的地步了。仅以肉眼来看的话，可以说同一时刻月相是相同的。打个不太严格的类比，就好像你坐在电影院的不同位置上看电影，角度虽然确实不同，但画面是一样的。<br>\n<br>\n<h4><strong>参考资料</strong></h4>\n[1]<a href=""http://www.guokr.com/question/501119/"">在不同的地方看月亮，真能看到不同形状的月亮吗？ </a>Steed，果壳网果壳问答\n	</div>\n</div>","科学技术"
"硬件病毒能够烧毁硬件","有一类硬件病毒能够控制电脑烧毁硬件。","0","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	<br>\n所谓硬件病毒，最典型的要数CIH，这个病毒可以向BIOS芯片中写入垃圾数据，导致BIOS的功能失效从而无法启动计算机，解决办法是将BIOS的程序刷入BIOS芯片。国内曾将流行过一个BMW木马，它会向BIOS里面写入一段代码，每次启动机器这段代码都会执行，因此一旦中了这个木马，没有特殊的防御手段的话，系统永远都会被病毒感染。这种感染BIOS木马我们一般称之为BIOS Rootkit，它和CIH的最大不同点在于，它不破坏BIOS让用户无法启动计算机，而是要对用户计算机进行永久的控制，由于每个生产商的生产BIOS“格式”都不相同，它只能感染某一种BIOS，而无法做到“通吃”，因此感染能力没有一般的系统木马那么大。<br>\n<br>\nIntel这几年搞了一个主动管理技术（AMT），就是在芯片组里面嵌入了一个独立的嵌入式系统来实现对计算机的管理，国外有安全研究员曾经就研究出来一种方法向芯片组里写入代码从而实现对计算机的控制。<br>\n<br>\n想让这些硬件木马工作起来，最重要的一个条件就是这些硬件的芯片是可以被写入的，同时还需要发现写入芯片的接口以及芯片数据的组织格式，但是这些技术文档并不一定都能被生产商公开，代码调试也没有专业的设备支持，因此做这种事情的难度会大一些，远没有实现一个普通的木马那么容易。<br>\n <br>\n藏在BIOS之类的地方的“硬件病毒”，其实归根结底还是对软件的攻击。因为现在很多我们看上去的是一块芯片，其实内部还是由一些特殊的嵌入式CPU运行了嵌入式系统和软件做成的SOC。甚至，现在满大街都是的x86兼容的cpu，其实从cpu接受的x86指令到真正工作的机器指令之间，也要经过由微指令写成的微程序转译和控制。当然，因为这些嵌入式系统和软件因为源码不公开或者某些接口不完全公开等原因，对它们的攻击相对开放的标准的桌面OS来说要困难很多，但是从原理来说，也不是什么十分不可思议的事情。<br>\n<br>\n当然，对于这类芯片的攻击，还有一个前提就是嵌入式系统和软件是存放在可电擦写的ROM里面，如果是只读的，那么再牛X的病毒都毫无办法。不过随着flash单价的下降，现在能看到的很多芯片都用flash了，毕竟这还有更新方便的优点。<br>\n<br>\n其次说到的“烧毁硬件、烧毁芯片”之类的说法呢，其实很多就是以讹传讹的了。例如说一个soc芯片，如果把它的系统部分的ROM清空了，那么它自然就无法正常工作了，那么很多人就认为它“烧了”。这其实应该占了绝大部分。<br>\n<br>\n另外一小部分才是真正的烧掉，主要的办法是利用某些特殊的指令，使其超负荷连续工作，当它发热量超出设计范围时，就会烧掉。但是在现代芯片工业设计都比较完善，而且稍微高端一点的都自带温度感应和控制，发现温度过高会自动降低工作频率，再到外围系统设计也比较充分的考虑到散热问题的情况下，想简单的通过超负荷来真正的烧掉芯片，是越来越难的。<br>\n<br>\n<br>\n<h4><strong>参考资料：</strong></h4>\n[1]<a href=""http://www.guokr.com/question/170913/"">计算机硬件病毒有那么厉害</a>，晓风残月 yhz，果壳网问答\n	</div>\n</div>","科学技术"
"跳蚤可以被人驯服，失去其跳高的能力","“科学家做过一个有趣的实验：他们把跳蚤放在桌上，一拍桌子，跳蚤迅即跳起，跳起高度均在其身高的100倍以上，堪称世界上跳得最高的动物！然后在跳蚤头上罩一个玻璃罩，再让它跳。这一次跳蚤碰到了玻璃罩。连续多次后，跳蚤改变了起跳高度以适应环境，每次跳跃总保持在罩顶以下高度。接下来逐渐改变玻璃罩的高度，跳蚤都在碰壁后主动改变自己的高度。最后，玻璃罩接近桌面，这时跳蚤已无法再跳了，科学家于是把玻璃罩打开，再拍桌子，跳蚤竟然不会跳，变成“爬蚤”了。跳蚤变成“爬蚤”，并非它已丧失了跳跃的能力，而是由于一次次受挫学乖了，习惯了，麻木了，最可悲之处就在于，实际上的玻璃罩已经不存在，它却连“再跳一次”的勇气都没有，玻璃罩已经罩在潜意识里，罩在了心灵上。” ","新","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	.\n	</div>\n</div>","科学技术"
"鸟类的叫声也有方言","鸟类的叫声也有方言。","2","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	在动物声学上，鸟类的叫声分两种：<strong>鸣叫（Call）</strong>和<strong>鸣唱（Song）</strong>。前者是鸟类发出的各种各样较短促、较简单的鸣声，雌雄个体在全年内都会发出；而后者是雄性个体在繁殖季节，发出的持续时间较长，有一定固定模式的较为复杂的鸣声，具有宣示领地和吸引异性的作用。<br>\n <br>\n因为鸣唱有相对固定的模式且较长，所以鸟类的方言也发生在鸣唱之上。<br>\n <br>\n不同的个体，在不同的时候，两个鸣唱之间的间隔时间、单个鸣唱的模式可能都有不同，同一只鸟的鸣唱通常也有数个模式。但在临近区域内，同种鸟的鸣唱是类似的，而与较远的地方不同。但一般来说，留鸟的鸣声方言明显，候鸟的方言不明显。<br>\n <br>\n理论上讲，鸟类对同方言的识别程度更高一些。但在实际程度中不一定。拿我之前搞过的白头鹎来说，北京海淀区的白头鹎对武昌白头鹎的回放作用，与汉阳白头鹎对武昌白头鹎的回放作用在统计上没有差别。<br>\n <br>\n一些鸟类的方言，尤其是留鸟的方言，受地域的影响比种类的影响要大。还是拿我搞过的白头鹎来说，桂林的白头鹎海南亚种与指名亚种之间的鸣声差异，远小于当地指名亚种与北京的指名亚种的鸣声差异。甚至桂林的白头鹎海南亚种的叫声和武汉的指名亚种的鸣声的相似程度都大于后者与北京的指名亚种鸣声的相似程度。但是，武汉的白头鹎对这些鸣唱都有反应，并且从统计上来说它们的反应没有显著差异。<br>\n <br>\n<h4><strong>参考资料</strong></h4>\n[1]<a href=""http://www.guokr.com/question/277418/"">鸟类的叫声也有方言吗？ </a>花落成蚀，果壳网果壳问答\n	</div>\n</div>","科学技术"
"向纸飞机头部哈气能让飞机飞得更好","小伙伴们玩纸飞机的时候，都说向纸飞机头部哈气能让飞机飞高一些。","2","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	从物理学上确实有科学的解释。哈气可以使纸飞机头部湿润，重量加重，在飞行过程中能更好地保持平衡，不后翻。 <br>\n<br>\n但是，对于小孩子们来说，很少有人懂得上面的原理。更多的是看到别人这么做自己也这么做，一种从众心理。<br>\n<h4></h4>\n从心理学角度，飞之前哈气有鼓舞加油的暗示，希望自己的纸飞机飞地更高更远，像是对它说‘加油！’。<br>\n<h4></h4>\n<h4><strong>参考资料</strong></h4>\n[1]<a href=""http://www.guokr.com/question/135427/"">扔纸飞机之前为什么要哈口气？ </a>彩虹弯弯，果壳网果壳问答\n	</div>\n</div>","科学技术"
"舰载雷达能探测到电波表的信号","名侦探柯南2013年剧场版《远海的侦探》中，柯南建议利用军舰上的雷达在下午五点手表利用电波校准的时候寻找电波表的信号来定位，并最终通过这个方法探测到了信号，救了小兰。","0","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	首先这种电波表只接受授时信号不发射信号， 是没有办法定位的，GPS就是个典型例子（北斗不是）；即使发射信号，要想利用舰载雷达来完成这个任务，在信号的频率上差距也非常大，不是一个波段的，不好使。这和你带个收音机身上，对救援方是没有什么实际用处的是一个概念。<br>\n<br>\n<h4><strong>参考资料</strong></h4>\n[1]<a href=""http://www.guokr.com/question/506301/"">刚看了柯南2013剧场版，舰载雷达能探测到电波表的信号么？ </a>啥也薄试，果壳网果壳问答\n	</div>\n</div>","科学技术"
"蜗牛壳破损后会愈合","蜗牛壳破损后会愈合。","1","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	蜗牛的外壳内，有层外套膜，这是软体动物、腕足动物壳内的内壁褶。内套膜的最外部分，会分泌贝壳成分，以制造贝壳。第二层由肌肉和结缔组织交织而成，使内套膜具有一定的强度和韧性。还有第三层，对于河蚌类，在朝向壳内的方向长有纤毛，以推动内部水流的运动。 <br>\n<br>\n回到问题。蜗牛壳破损后会愈合吗？<br>\n <br>\n这要看破损的具体情况： <br>\n如果只是外壳小部分损坏，外套膜没有损伤，蜗牛的外套膜会分泌贝壳成分，以修补破损的部位。修补后的部位与其他部位的外壳相比，颜色稍淡。 <br>\n<br>\n如果破损深达外套膜，此时蜗牛就无法分泌贝壳成分而修补破损部位。但破损之处可以长成疤痕的结缔组织。此时的蜗牛虽无法修补外壳，但仍有可能存活。 <br>\n<br>\n如果破损深达内部组织，那么存活的可能性就比较小。因为内部组织出现破损，环境中微生物直接进入蜗牛体内。蜗牛的代谢比较缓慢，难以在短时间内使伤处愈合，微生物的持续进入，就会造成严重的影响。 <br>\n<br>\n<img src=""https://1-im.guokr.com/STNXAwXRP--b9_MCRnjt9CVHJAoqvY7l9VjUCirAlkoTAQAAEgEAAEpQ.jpg"" style=""max-width: 480px"" data-orig-width=""275"" data-orig-height=""274"" data-hashkey=""STNXAwXRP--b9_MCRnjt9CVHJAoqvY7l9VjUCirAlkoTAQAAEgEAAEpQ""><br>\n<br>\n<h4><strong>参考资料</strong></h4>\n[1]<a href=""http://www.guokr.com/question/505673/"">蜗牛壳破损后会愈合吗？ </a>悠悠然的blog，果壳网果壳问答<br>\n\n	</div>\n</div>","科学技术"
"买来的鸡蛋因为高温孵化出小鸡","2013年7月29日中午，湖南省娄底市，正在做饭的谢女士敲开了一枚鸡蛋，她发现蛋黄有些异常，定睛一看，竟然是一只小鸡的雏形。谢女士赶紧又敲开了几枚鸡蛋，发现都是同样的情形。 ","2","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	1、图中的小鸡算是“孵出来”的吗？ <br>\n首先，没有活的小鸡出壳，即使有孵化过程也是不完整的。 <br>\n其次，不能排除以下的可能：图中确实有小鸡的胚胎没错，但是报道中没有证据表明，这个胚胎以前是小小的受精卵，因为高温才慢慢发育成这样。 <br>\n换句话说，这位女士有可能是一开始就买了一批“毛鸡蛋”。抱着里面是蛋清蛋黄的预期，打开却是鸡胚胎，就误以为这是“孵出来了”。 <br>\n <br>\n2、理论上，高温天气能促使受精蛋发育、孵化吗？ <br>\n可以。鸡蛋孵化需要温度、湿度适宜等等一系列条件，条件适宜鸡蛋有可能孵化出来。但是家居条件下温湿度一般不会太稳定，空气对流严重，没有母鸡的体温那么恒定。使用人工孵化机能更好地模拟这些条件来使鸡蛋孵化，目前大型种鸡场孵鸡蛋多直接用人工孵化机。 <br>\n <br>\n3、为啥以前没怎么见过这种事情？ <br>\n因为我们吃的鸡蛋大部分是未受精蛋，没有公鸡来配种。尤其是占据鸡蛋市场大部分的规模化养殖出来的商品蛋，除去意外，应该都是未受精蛋才对。这种情况下，公母配种一般用来繁殖下一代蛋鸡，换句话说，受精蛋有另外的用途，不用来作为食物。 <br>\n而新闻中女士的鸡蛋是在乡下老家买的，就有很大的可能性是散养、公母交配后生出的受精蛋。 <br>\n <br>\n4、上面这些都是理论性的解答，有没有天热孵出小鸡的真实事例呢？ <br>\n有类似的新闻，下面才是板上钉钉的真·高温孵出小鸡： <br>\n凤凰网：<a href=""http://city.ifeng.com/cshz/nj/20120618/269076.shtml"">活珠子放了几天孵出小鸡来 原是气温较高致孵化</a><br>\n <br>\n \n	</div>\n</div>","科学技术"
"被胡蜂蛰伤可能致命","【陕西1675人遭胡蜂蜇伤 已致41人死亡】记者从陕西省卫生部门获悉，陕西南部安康、汉中、商洛3市目前已有1675人被胡蜂蜇伤，致41人死亡。提醒前去旅游的朋友：胡蜂体大身长毒性强，在野外不要惊扰它。如遇袭击，趴在地下不要动，切忌反复拍打。可用衣物保护好自己的头部和脖颈部。","2","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	黄蜂，胡蜂，马蜂，都是指胡蜂总科胡蜂科（<i>Vespidae</i>）的昆虫。这类昆虫中包括了一些非真社会性的昆虫，比如狭腹胡蜂亚科（<i>Stenogastrinae</i>）和蜾嬴（<i>Eumeninae</i>）和以一只雌性蜂王为中心的社会性昆虫，如马蜂亚科（<i>Polistinae</i>）和胡蜂亚科（<i>Vespinae</i>）。为了防范入侵者，工蜂腹部末端的产卵器结构变化为有毒的尾针，螫人时会产生刺痛感。<br>\n<br>\n当然，这个新闻中讨论的，应该是胡蜂亚科的昆虫。<br>\n<br>\n胡蜂毒液的主要成分为组胺、五羟色胺、缓激肽、透明质酸酶等，毒液呈碱性，易被酸性溶液中和。毒液有致溶血、出血和神经毒作用，能损害心肌、肾小管和肾小球，尤易损害近曲肾小管，也可引起过敏反应。这个其实和蜜蜂的毒性类似，被大量蜜蜂蛰了以后也会出现蜂毒引起的肾衰竭，不过由于蜜蜂个子小。毒囊容量小，并且蛰了人以后自己就死了，蜜蜂相对来说并不这么危险，胡蜂科的昆虫的特点在于可以<strong>多次，重复蜇人</strong>，因此对人生命的威胁远大于蜜蜂。<br>\n<br>\n一般成年人在受到5只胡蜂攻击后，就可能引发肾衰竭，被20只以上的胡蜂蜇咬会产生全身性毒性，超过100只，就有可能丧命。<br>\n<br>\n考虑到胡蜂科的昆虫攻击人一般是由于被激怒，或者惊扰后的报复行为，这次胡蜂蜇人的事件应该是由于今年夏秋以来，陕西部分地区气候有些反常，往常湿润多雨的天气变得干旱少雨，气温偏高的条件下，胡蜂活动频繁，性情也变得凶狠和狂躁，对人们在采摘果实、收割庄稼或其他行为的惊扰异常敏感，容易发生攻击行为。<br>\n<br>\n若是胡蜂蜇伤，要立即检查蜇伤处，挤出毒液，局部剧痛者，可用0.1%利多卡因或0.5%-1%普鲁卡因局部封闭。重症在伤口近心端扎止血带，每隔15分钟放松一次，结扎时间不宜超过2小时，并且，<strong>一定要尽快到医院就诊。</strong><br>\n<br>\n还有一点：<strong>在胡蜂密集地区作业时要穿长衣裤，注意面部、手的防护；不要激惹它们。</strong><br>\n<br>\n<h4><strong>参考资料</strong></h4>\n[1]<a href=""http://www.guokr.com/question/504796/"">为什么胡蜂这么厉害？为什么最近频频伤人？如何避免被胡蜂蛰伤？ </a>C.CristataX，果壳网果壳问答\n	</div>\n</div>","科学技术"
"声音能被大风吹走","声音能被大风吹走。","2","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	这个问题的关键在于理解声音的本质，以及影响声音传播的因素。<br>\n声音，我们称之为声波好些。声音本质上是机械波，有一个做机械振动的波源引起，通过弹性介质(空气)传播。声音传播的速度跟<strong>空气的容变</strong><strong>弹性模量</strong>（表示产生单位容积相对变化量所需压强）以及<strong>密度</strong>有关，估计大风吹对这两个参数影响不大。<br>\n<br>\n不过大风风向如果与声音传播方向平行，假如顺风的话，声速估计会提升一点，假如逆风，声速减慢。<br>\n如果大风风向与声音传播方向垂直，那么声音传播方向将会偏移，有点吹跑的效果。<br>\n<br>\n不考虑波的干涉和衍射情况的前提下，可以这样类比：一颗小石头掉落水中，激起水波。然后有另一个波浪冲过来，水波会怎么样呢？水波就是声音，另一个波浪就是大风。<br>\n<br>\n波的叠加原理说：<br>\n（1）当几列波在同一介质中传播时，如果在空间某处相遇，则相遇处质点的振动是各列波引起振动的合成，在任意时刻该质点的位移是各列波引起位移的矢量和。<br>\n（2）几列波相遇后，每列波能保持各自的传播规律而不互相干扰，好像各自的途中没遇到其他波一样。<br>\n<br>\na)如果你在风中听声音，由于波的叠加，那么声音传播方向将会偏移，有点吹跑的效果。<br>\nb)如果风过后，根据波的独立性原理，声音将按原方向继续前进。正如一个小的波浪过后，小石头激起的水波继续前进。你这个时候听声音，应该是没有变化的。<br>\n<br>\n但是如果是一个凶险的大浪涌过来，估计小水波就荡然无存了，即声音被风吹走了（吹散了）。<br>\n<br>\n<h4><strong>参考资料</strong></h4>\n[1]<a href=""http://www.guokr.com/question/496672/"">声音能被大风吹走吗？ </a>红色荒漠，果壳网果壳问答\n	</div>\n</div>","科学技术"
"神州十号必须17时38分发射是为了节省燃料","发射工作人员表示，飞船燃料有限，必须将神十发射到和天宫一号同一个轨道上两者才能轻松对接。天宫一号每两天绕地球一周，而11日17时38分正是天宫一号经过发射塔上空的时间点，此时天空一号地面投影和神十发射点重合。选择这个时间发射，就保证了用最少的燃料把神十送到和天宫一号相同的轨道上。从而确保飞船有充足的燃料来执行太空任务和返回陆地。","0","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	天宫一号的飞行高度是350KM左右，神舟飞船的飞行高度是也是此数量级上，神舟飞船每1.5小时飞行绕地球一周，从轨道高度可以确认，天宫的飞行绕地球一周也是在1.5小时左右，如果如流言所讲，每两天才绕地球一周那么速度只有飞船的1/32，肯定掉下来不说，而且两个速度相差32倍的高速物体，是不可能对接上的。<br>\n<br>\n另外，所谓的投影的问题，其实就是叫星下点，即使星下点和飞船重合了，但是双方的速度是不一样的，飞船的是需要经过变轨才能进入对接轨道的，这之间可不是一个星下点重合能说明问题的。<br>\n<br>\n基本上，之所以选择固定的时间点，目的就是让飞船进入轨道的时候，正好与天宫（前提是天宫已经调整到对接轨道位置了）的轨道根数一致，而且在时间上同步，那么飞船与天宫之间的距离就比较小，并保证了运行方向的一致，在这样的情况下，可以省略去大量的变轨和追踪的时间，尽快实现对接。<br>\n<br>\n一般来说，天宫每固定圈数实现一次轨道重复（也就是星下点位置相同），如果你误了这次的时间点，那么，就只有选择下一个时间点的时间，就是圈数乘以绕地球周期得到的时间之后。<br>\n<br>\n当然，如果该时间有特殊原因不适合发射，又急于发射，短时间内又没有其他轨道时间合适的时机，理论上讲天气和设备允许，任何时间都是可以的，不过会影响到太阳能电池的打开和工作时间，还有对接的时间点的问题，你可能就需要等的时间很长了，让轨道逐渐修正到位，飞行器携带的能源及推进火箭的燃料余量也是个很严重的问题。<br>\n<br>\n以前这个时间点问题非常严重，但是从我们某个任务发射的情况看，这个时间上相差在2个小时以内（一般也是预留2个小时窗口），应该没有大问题，对卫星来说因获取太阳能的时间的不定因素，导致发射和入轨风险加大，对要机动对接的飞船来说是滞空时间大大缩短，因为燃料被机动消耗掉了。但是对无需对接的来说，影响会小一些。<br>\n<br>\n <br>\n通过精密的计算，可以寻到一条最优路径，最简化追踪过程，及时进行对接。在这个基础上，就可以把发射时间反推到一个固定的时间点上去，并精确到分钟了。<br>\n<br>\n另外，“两天”的提法可能出自于飞船在返回时，每两天（不是完整和准确的两天）可以得到一个机会，返回同一个着落场。这说明，在两天之内，有至少一次轨道（星下点）重复的机会，可以循同样的如轨迹返回地球，也有同样的发射条件其出现。另如果其他时间返回，就只可以使用备份或应急着陆场了。<br>\n<br>\n<br>\n<h4><strong>参考资料：</strong></h4>\n[1] <a href=""http://www.guokr.com/question/471281/"">神州十号为什么必须17时38分发射？ 报道中说这个时候天空一号地面投影和神十发射点重合，这样为什么就最节省燃料了呢</a>，啥也薄试，果壳网问答\n	</div>\n</div>","科学技术"
